ABW,0
AFE,19253143
AFG,449041
AFW,5528131
AGO,356695
ALB,124714
AND,0
ARB,83932897
ARE,26116897
ARG,3680874
ARM,54940
ASM,0
ATG,270009
AUS,23627141
AUT,13285414
AZE,545265
BDI,0
BEL,3520850
BEN,0
BFA,70228
BGD,2984122
BGR,443067
BHR,1451359
BHS,1272799
BIH,1593
BLR,1227674
BLZ,971426
BMU,0
BOL,2627202
BRA,45405756
BRB,0
BRN,280622
BTN,48825
BWA,0
CAF,0
CAN,27620000
CEB,22919373
CHE,9009607
CHI,0
CHL,8019753
CHN,417255845
CIV,322841
CMR,40884
COD,277588
COG,226390
COL,12273940
COM,0
CPV,313225
CRI,455831
CSS,0
CUB,99838
CUW,0
CYM,0
CYP,104559
CZE,1358558
DEU,25758450
DJI,0
DMA,0
DNK,14041323
DOM,31391
DZA,1460077
EAP,546800750
EAR,296581327
EAS,674706252
ECA,122071792
ECS,413202537
ECU,1146369
EGY,4638192
EMU,189424474
ERI,45104
ESP,26557078
EST,0
ETH,4940183
EUU,238987162
FCS,17244681
FIN,3500299
FJI,409104
FRA,24956343
FRO,0
FSM,0
GAB,0
GBR,30967520
GEO,72906
GHA,321437
GIB,0
GIN,0
GMB,0
GNB,0
GNQ,138898
GRC,5647917
GRD,0
GRL,0
GTM,25217
GUM,0
GUY,17990
HIC,897862057
HKG,5878548
HND,91973
HPC,12656139
HRV,608458
HTI,23119
HUN,14597294
IBD,891984873
IBT,923836407
IDA,31851535
IDB,12727160
IDN,37523687
IDX,19124375
IMN,0
IND,68959633
INX,0
IRL,54582262
IRN,12744854
IRQ,764661
ISL,903927
ISR,1249361
ITA,7801490
JAM,0
JOR,816253
JPN,51131122
KAZ,5282205
KEN,1865768
KGZ,191774
KHM,609564
KIR,56299
KNA,0
KOR,30033310
KWT,1823594
LAC,110789292
LAO,386950
LBN,1077762
LBR,0
LBY,715300
LCA,0
LCN,121313047
LDC,17136438
LIC,7747178
LIE,0
LKA,1240391
LMC,203386179
LMY,911243378
LSO,0
LTE,741625913
LTU,35027
LUX,753114
LVA,1323070
MAC,544411
MAF,0
MAR,3012310
MCO,0
MDA,306632
MDG,186314
MDV,893408
MEA,97988688
MEX,34133108
MHL,25563
MIC,903496200
MKD,0
MLI,0
MLT,549319
MMR,1506582
MNA,26673599
MNE,0
MNG,143860
MNP,0
MOZ,327742
MRT,100904
MUS,407291
MWI,1792
MYS,15893988
NAC,397121000
NAM,62263
NCL,0
NER,0
NGA,3401187
NIC,0
NLD,14748517
NOR,14041323
NPL,1989284
NRU,9356
NZL,8516620
OED,901701603
OMN,2496069
OSS,0
PAK,3711457
PAN,3074172
PER,5705074
PHL,11178423
PLW,0
PNG,1501149
POL,2686258
PRE,10479453
PRI,0
PRK,11650
PRT,6219531
PRY,131713
PSE,0
PSS,847903
PST,760646645
PYF,0
QAT,10640789
ROU,1786407
RUS,62447448
RWA,661288
SAS,80276160
SAU,26987702
SDN,386838
SEN,271331
SGP,7884373
SLB,138661
SLE,0
SLV,805272
SMR,0
SOM,0
SRB,795228
SSA,24631785
SSD,0
SSF,24781274
SST,0
STP,20703
SUR,89027
SVK,2669
SVN,78565
SWE,14041323
SWZ,10647
SXM,0
SYC,149489
SYR,10410
TCA,0
TCD,0
TEA,546798456
TEC,125366508
TGO,320806
THA,28179303
TJK,260316
TKM,1084543
TLA,119940410
TLS,0
TMN,26673599
TON,0
TSA,80276160
TSS,24781274
TTO,677670
TUN,1381745
TUR,44722690
TUV,0
TZA,909564
UGA,6159
UKR,1790621
UMC,700110021
URY,0
USA,369501000
UZB,933769
VCT,0
VEN,283524
VGB,0
VIR,0
VNM,31771202
VUT,196963
WLD,1809388959
WSM,11957
XKX,0
YEM,52035
ZAF,8304771
ZMB,8718
ZWE,324227
